step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,580,4,0.5782219676889984,0.0,0.6524390243902439
2,1032,8,0.969057623013857,0.0,0.43548387096774194
3,1388,12,0.8549803205168495,0.0,0.5126050420168067
4,2128,16,0.6261963753447242,0.0,0.5406976744186046
5,2452,20,0.9564405967487255,0.0,0.422680412371134
6,2648,24,1.419334173654109,0.0,0.4166666666666667
7,2908,28,1.0145368515720634,0.0,0.4146341463414634
8,3232,32,0.9184697791773851,0.0,0.48148148148148145
9,3460,36,0.7969499112226393,0.0,0.5735294117647058
10,3656,40,1.5381648957287932,0.0,0.39759036144578314
11,3788,44,0.9787820221747552,0.0,0.5952380952380952
12,3952,48,1.360075415286119,0.0,0.3968253968253968
13,4148,52,1.4958144846871921,0.0,0.45454545454545453
14,4408,56,1.29527973396863,0.0,0.42391304347826086
15,4508,60,1.4927150221376604,0.0,0.32
16,4704,64,1.534071266084599,0.0,0.32926829268292684
17,4932,68,1.3116224876621607,0.0,0.34285714285714286
18,5128,72,0.677682126587024,0.0,0.525
19,5292,76,1.5403660630702507,0.0,0.3389830508474576
20,5520,80,0.6684449004832589,0.0,0.48717948717948717
21,5812,84,0.8375748374848828,0.0,0.4050632911392405
22,6040,88,0.8645519432912155,0.0,0.41379310344827586
23,6268,92,1.2173443403076816,0.0,0.4942528735632184
24,6688,96,0.7897935992373768,0.0,0.5275590551181102
25,7172,100,0.7495315376059078,0.0,0.40458015267175573
26,7528,104,1.1170041658698624,0.0,0.391304347826087
27,7756,108,0.6954396892952771,0.0,0.41304347826086957
28,7952,112,0.6698635899931711,0.0,0.5689655172413793
29,8244,116,1.0490633123476956,0.0,0.5354330708661418
30,8632,120,0.6260504767026457,0.0,0.5546218487394958
31,8796,124,1.1467153074966336,0.0,0.4117647058823529
32,8992,128,0.8381303259015113,0.0,0.5098039215686274
33,9092,132,0.8109166829306029,0.0,0.4782608695652174
34,9224,136,1.6616122783279934,0.0,0.48484848484848486
35,9420,140,1.1637484600789323,0.0,0.5373134328358209
36,9680,144,0.8509265726554986,0.0,0.4626865671641791
37,9908,148,1.2269814057994934,0.0,0.42857142857142855
38,10200,152,0.8786204008672535,0.0,0.4418604651162791
39,10524,156,1.121128434914117,0.0,0.506578947368421
40,10976,160,0.5270288859052277,0.0,0.625
41,11492,164,0.6490689517298478,0.0,0.5555555555555556
42,11656,168,1.4073082423279992,0.0,0.39344262295081966
43,11820,172,0.5655108401115285,0.0,0.5757575757575758
44,11952,176,0.9161965478248022,0.0,0.36666666666666664
45,12340,180,1.3260047970280844,0.0,0.46113989637305697
46,12664,184,0.8707235165365272,0.0,0.5365853658536586
47,12828,188,0.7972511421039234,0.0,0.5
48,13312,192,0.851058535984533,0.0,0.4507042253521127
49,13668,196,1.3391746952343964,0.0,0.47023809523809523
50,13896,200,1.0641449967261776,0.0,0.46153846153846156
51,14060,204,0.7424081448801918,0.0,0.631578947368421
52,14288,208,0.8669082269530918,0.0,0.49333333333333335
53,14452,212,1.5495674536811292,0.0,0.4666666666666667
54,14872,216,0.9397190903030676,0.0,0.4132231404958678
55,15004,220,0.7674654803771772,0.0,0.5909090909090909
56,15296,224,0.8217023958105124,0.0,0.4626865671641791
57,15460,228,0.8933940046260067,0.0,0.5272727272727272
58,15816,232,1.0860680509792886,0.0,0.391304347826087
59,15916,236,1.396485525274208,0.0,0.3684210526315789
60,16176,240,0.8792206279743368,0.0,0.3835616438356164
61,16340,244,1.4248896950675316,0.0,0.40298507462686567
62,16568,248,0.46823416295311676,0.0,0.42857142857142855
63,16700,252,0.7242310456935229,0.0,0.38095238095238093
64,16800,256,0.6609498385976622,0.0,0.5416666666666666
65,16996,260,0.5166008086392443,0.0,0.5135135135135135
66,17352,264,0.8160833100686763,0.0,0.6083916083916084
67,17548,268,1.175127790216781,0.0,0.5294117647058824
68,17808,272,0.6525400937007362,0.0,0.5238095238095238
69,17972,276,0.6527808303926941,0.0,0.5675675675675675
70,18232,280,1.2073481176757923,0.0,0.4536082474226804
71,18716,284,0.7264800576901325,0.0,0.5477707006369427
72,18944,288,1.0487269537151016,0.0,0.38235294117647056
73,19204,292,0.9476142816672108,0.0,0.47368421052631576
74,19400,296,1.083234037260536,0.0,0.44594594594594594
75,19692,300,0.6193743436597592,0.0,0.5632183908045977
76,19888,304,1.2011332487555288,0.0,0.4634146341463415
77,20148,308,0.6809863261590522,0.0,0.6197183098591549
78,20472,312,0.6725784156992086,0.0,0.6454545454545455
79,20572,316,0.563110825689849,0.0,0.5238095238095238
80,20704,320,0.8511172098477345,0.0,0.6470588235294118
81,20868,324,1.3210866345980319,0.0,0.42857142857142855
82,21224,328,0.642862004575694,0.0,0.5544554455445545
83,21452,332,1.387423874113353,0.0,0.41414141414141414
84,21648,336,1.3528006534284638,0.0,0.46153846153846156
85,21844,340,0.45049825166812907,0.0,0.7391304347826086
86,22008,344,0.9090998792223399,0.0,0.5689655172413793
87,22236,348,0.9982780426388802,0.0,0.52
88,22432,352,0.7273751057481453,0.0,0.5645161290322581
89,22660,356,0.9489950050591558,0.0,0.3709677419354839
90,23048,360,0.38028353752096494,0.0,0.5824175824175825
91,23500,364,0.6879828852588227,0.0,0.528
92,23664,368,0.8478658820245256,0.0,0.4897959183673469
93,23828,372,1.229755577479955,0.0,0.37142857142857144
94,24312,376,0.44732243816416783,0.0,0.65625
95,24508,380,0.988411704308828,0.0,0.3508771929824561
96,24800,384,0.49585837831309615,0.0,0.6582278481012658
97,24996,388,0.7286895876644849,0.0,0.40384615384615385
98,25224,392,1.301421468380639,0.0,0.39080459770114945
99,25324,396,1.3822745761016753,0.0,0.4166666666666667
100,25680,400,0.5375913893364751,0.0,0.4868421052631579
101,25844,404,1.2866974233591464,0.0,0.4307692307692308
102,26328,408,0.9171561763209077,0.0,0.38461538461538464
103,26684,412,1.075259264176103,0.0,0.46153846153846156
104,26880,416,1.4500309499087962,0.0,0.47368421052631576
105,27076,420,1.1491170999140496,0.0,0.36363636363636365
106,27400,424,0.5375364007877215,0.0,0.4647887323943662
107,27660,428,0.307877413966105,0.25,0.6923076923076923
108,28016,432,1.2698464909819986,0.0,0.5027932960893855
109,28308,436,1.0484567901587878,0.25,0.5478260869565217
110,28472,440,1.1147075213539577,0.0,0.421875
111,28796,444,0.5513039000488587,0.0,0.6043956043956044
112,29120,448,0.7913079010106366,0.0,0.5188679245283019
113,29284,452,0.9145412922187642,0.0,0.5471698113207547
114,29448,456,0.6875068962127261,0.0,0.5428571428571428
115,29708,460,0.9455344275869947,0.0,0.45454545454545453
116,29872,464,1.2016965863746738,0.0,0.4482758620689655
117,30068,468,0.8802400194071804,0.0,0.5394736842105263
118,30360,472,0.9675525803790759,0.0,0.5175438596491229
119,30684,476,1.2406452043924219,0.0,0.460431654676259
120,31008,480,0.748687649599251,0.0,0.5408163265306123
121,31268,484,0.8448191533692182,0.0,0.5054945054945055
122,31432,488,0.906507615803348,0.0,0.5818181818181818
123,31596,492,0.9869472097177641,0.25,0.4166666666666667
124,31760,496,0.9395831940364587,0.0,0.425531914893617
125,32084,500,0.7890699484876496,0.0,0.5727272727272728
126,32216,504,0.8628007992362199,0.0,0.45454545454545453
127,32572,508,1.0235645233688706,0.0,0.47794117647058826
128,32768,512,0.6658327236781588,0.0,0.5272727272727272
129,33188,516,0.8339463047247242,0.0,0.39823008849557523
130,33352,520,1.0784841582718219,0.0,0.5
131,33580,524,0.7930212986162586,0.0,0.5
132,33808,528,0.9216540650495776,0.0,0.5061728395061729
133,34036,532,0.6904034370373535,0.0,0.4666666666666667
134,34200,536,0.7947850471929996,0.0,0.52
135,34332,540,1.4906219017108697,0.0,0.4375
136,34496,544,0.9999616687932577,0.0,0.4358974358974359
137,34628,548,0.6677706267706526,0.0,0.41935483870967744
138,34824,552,1.2798485243086968,0.0,0.3382352941176471
139,34988,556,0.9105133325191128,0.0,0.5531914893617021
140,35248,560,1.0997442015977867,0.0,0.4166666666666667
141,35636,564,0.6988579841638739,0.0,0.6171875
142,35992,568,1.1598045693959482,0.0,0.5116279069767442
143,36348,572,1.0622429419291208,0.0,0.3798449612403101
144,36576,576,0.6098019423478036,0.0,0.5961538461538461
145,36772,580,1.1148340851940397,0.0,0.45901639344262296
146,36936,584,1.8327204442763467,0.0,0.39759036144578314
147,37420,588,0.9266424648763102,0.0,0.46153846153846156
148,37616,592,0.625030306928511,0.0,0.5098039215686274
149,37812,596,1.446959079026904,0.0,0.4166666666666667
150,38136,600,1.1475905058213471,0.0,0.47107438016528924
151,38492,604,0.9791733956274005,0.0,0.5083333333333333
152,38656,608,1.6068702030873099,0.0,0.352112676056338
153,38980,612,0.8248191585011954,0.0,0.40476190476190477
154,39272,616,1.3696070124409745,0.0,0.4594594594594595
155,39628,620,1.120120598440388,0.0,0.48
156,39856,624,1.2292715421083162,0.0,0.46808510638297873
157,40084,628,0.9004244713257972,0.0,0.625
158,40280,632,0.6569730603505377,0.0,0.5531914893617021
159,40764,636,0.7228669592341307,0.0,0.525974025974026
160,40992,640,1.1787952629128478,0.0,0.42696629213483145
161,41252,644,1.355333622600301,0.25,0.41346153846153844
162,41384,648,1.0004951900489687,0.0,0.425
163,41676,652,1.148647048711104,0.0,0.4435483870967742
164,41872,656,0.9734929592137935,0.0,0.4375
165,42036,660,0.9331582038892702,0.0,0.48333333333333334
166,42232,664,1.0735887953467076,0.0,0.5340909090909091
167,42492,668,1.2433161543221103,0.0,0.3854166666666667
168,42816,672,0.36400882890913633,0.0,0.5833333333333334
169,42980,676,0.38190781964565756,0.0,0.82
170,43144,680,0.9458878432027996,0.0,0.29545454545454547
171,43436,684,0.7805166644786368,0.0,0.4125
172,43664,688,1.0470261094871083,0.0,0.3875
173,44468,692,0.909003416306521,0.0,0.45104895104895104
174,44632,696,0.7856562266353284,0.0,0.3939393939393939
175,44796,700,0.5357621328887763,0.0,0.6190476190476191
176,44896,704,0.9166967317655993,0.0,0.34782608695652173
